Ordnungszahl,Name,Symbol,Gruppe,Periode,Block,Atommasse (u)
1,Wasserstoff,H,1,1,s,"1,01"
2,Helium,He,18,1,s,4
3,Lithium,Li,1,2,s,"6,94"
4,Beryllium,Be,2,2,s,"9,01"
5,Bor,B,13,2,p,"10,81"
6,Kohlenstoff,C,14,2,p,"12,01"
7,Stickstoff,N,15,2,p,"14,01"
8,Sauerstoff,O,16,2,p,16
9,Fluor,F,17,2,p,19
10,Neon,Ne,18,2,p,"20,18"
11,Natrium,Na,1,3,s,"22,99"
12,Magnesium,Mg,2,3,s,"24,3"
13,Aluminium,Al,13,3,p,"26,98"
14,Silicium,Si,14,3,p,"28,09"
15,Phosphor,P,15,3,p,"30,97"
16,Schwefel,S,16,3,p,"32,07"
17,Chlor,Cl,17,3,p,"35,45"
18,Argon,Ar,18,3,p,"39,94"
19,Kalium,K,1,4,s,"39,1"
20,Calcium,Ca,2,4,s,"40,08"
21,Scandium,Sc,3,4,d,"44,96"
22,Titan,Ti,4,4,d,"47,88"
23,Vanadium,V,5,4,d,"50,94"
24,Chrom,Cr,6,4,d,52
25,Mangan,Mn,7,4,d,"54,9"
26,Eisen,Fe,8,4,d,"55,85"
27,Cobalt,Co,9,4,d,"58,93"
28,Nickel,Ni,10,4,d,"58,69"
29,Kupfer,Cu,11,4,d,"63,55"
30,Zink,Zn,12,4,d,"65,39"
31,Gallium,Ga,13,4,p,"69,72"
32,Germanium,Ge,14,4,p,"72,61"
33,Arsen,As,15,4,p,"74,92"
34,Selen,Se,16,4,p,"78,96"
35,Brom,Br,17,4,p,"79,9"
36,Krypton,Kr,18,4,p,"83,8"
37,Rubidium,Rb,1,5,s,"85,45"
38,Strontium,Sr,2,5,s,"87,62"
39,Yttrium,Y,3,5,d,"88,91"
40,Zirconium,Zr,4,5,d,"91,22"
41,Niob,Nb,5,5,d,"92,91"
42,Molybdän,Mo,6,5,d,"95,94"
43,Technetium,Tc,7,5,d,"98,91"
44,Ruthenium,Ru,8,5,d,"101,07"
45,Rhodium,Rh,9,5,d,"102,91"
46,Palladium,Pd,10,5,d,"106,42"
47,Silber,Ag,11,5,d,"107,87"
48,Cadmium,Cd,12,5,d,"112,41"
49,Indium,In,13,5,p,"114,82"
50,Zinn,Sn,14,5,p,"118,71"
51,Antimon,Sb,15,5,p,"121,75"
52,Tellur,Te,16,5,p,"127,6"
53,Iod,I,17,5,p,"126,9"
54,Xenon,Xe,18,5,p,"131,29"
55,Caesium,Cs,1,6,s,"132,91"
56,Barium,Ba,2,6,s,"137,33"
57,Lanthan,La,3,6,d,"138,9"
58,Cer,Ce,La,6,f,"140,11"
59,Praseodym,Pr,La,6,f,"140,91"
60,Neodym,Nd,La,6,f,"144,24"
61,Promethium,Pm,La,6,f,"146,92"
62,Samarium,Sm,La,6,f,"150,36"
63,Europium,Eu,La,6,f,"151,96"
64,Gadolinium,Gd,La,6,f,"157,25"
65,Terbium,Tb,La,6,f,"158,93"
66,Dysprosium,Dy,La,6,f,"162,5"
67,Holmium,Ho,La,6,f,"164,93"
68,Erbium,Er,La,6,f,"167,26"
69,Thulium,Tm,La,6,f,"168,93"
70,Ytterbium,Yb,La,6,f,"173,04"
71,Lutetium,Lu,La,6,f,"174,97"
72,Hafnium,Hf,4,6,d,"178,49"
73,Tantal,Ta,5,6,d,"180,95"
74,Wolfram,W,6,6,d,"183,85"
75,Rhenium,Re,7,6,d,"186,21"
76,Osmium,Os,8,6,d,"190,23"
77,Iridium,Ir,9,6,d,"192,22"
78,Platin,Pt,10,6,d,"195,08"
79,Gold,Au,11,6,d,"196,97"
80,Quecksilber,Hg,12,6,d,"200,59"
81,Thallium,Tl,13,6,p,"204,38"
82,Blei,Pb,14,6,p,"207,2"
83,Bismut,Bi,15,6,p,"208,98"
84,Polonium,Po,16,6,p,"208,98"
85,Astat,At,17,6,p,"209,99"
86,Radon,Rn,18,6,p,"222,02"
87,Francium,Fr,1,7,s,"223,02"
88,Radium,Ra,2,7,s,"226,03"
89,Actinium,Ac,3,7,d,"227,03"
90,Thorium,Th,Ac,7,f,"232,04"
91,Protactinium,Pa,Ac,7,f,"231,04"
92,Uran,U,Ac,7,f,"238,03"
93,Neptunium,Np,Ac,7,f,"237,05"
94,Plutonium,Pu,Ac,7,f,"244,06"
95,Americium,Am,Ac,7,f,"243,06"
96,Curium,Cm,Ac,7,f,"247,07"
97,Berkelium,Bk,Ac,7,f,"247,07"
98,Californium,Cf,Ac,7,f,"251,08"
99,Einsteinium,Es,Ac,7,f,"252,08"
100,Fermium,Fm,Ac,7,f,"257,1"
101,Mendelevium,Md,Ac,7,f,258
102,Nobelium,No,Ac,7,f,259
103,Lawrencium,Lr,Ac,7,f,260
104,Rutherfordium,Rf,4,7,d,"261,11"
105,Dubnium,Db,5,7,d,"262,11"
106,Seaborgium,Sg,6,7,d,"263,12"
107,Bohrium,Bh,7,7,d,"262,12"
108,Hassium,Hs,8,7,d,265
109,Meitnerium,Mt,9,7,d,266
110,Darmstadtium,Ds,10,7,d,269
111,Roentgenium,Rg,11,7,d,272
112,Copernicium,Cn,12,7,d,277
113,Ununtrium,Uut,13,7,p,287
114,Flerovium,Fl,14,7,p,289
115,Ununpentium,Uup,15,7,p,288
116,Livermorium,Lv,16,7,p,289
117,Ununseptium,Uus,17,7,p,292
118,Ununoctium,Uuo,18,7,p,293
