"  0.000047   0.000010   0.000057 (  0.000053)
";"  0.005428   0.000378   0.005806 (  0.005809)
";"  0.015134   0.000036   0.015170 (  0.015171)
";"  0.019066   0.000050   0.019116 (  0.019121)
";"  0.001417   0.000203   0.001620 (  0.001622)
"
"  0.000093   0.000013   0.000106 (  0.000105)
";"  0.022574   0.000000   0.022574 (  0.022578)
";"  0.057487   0.000303   0.057790 (  0.057799)
";"  0.075058   0.000056   0.075114 (  0.075124)
";"  0.002914   0.000000   0.002914 (  0.002916)
"
"  0.000163   0.000000   0.000163 (  0.000162)
";"  0.050492   0.000000   0.050492 (  0.050499)
";"  0.122742   0.000167   0.122909 (  0.122925)
";"  0.168936   0.000000   0.168936 (  0.168957)
";"  0.005135   0.000000   0.005135 (  0.005138)
"
"  0.000203   0.000006   0.000209 (  0.000208)
";"  0.102780   0.000000   0.102780 (  0.102794)
";"  0.220482   0.000039   0.220521 (  0.220557)
";"  0.270790   0.000008   0.270798 (  0.270839)
";"  0.005164   0.000016   0.005180 (  0.005184)
"
"  0.000270   0.000003   0.000273 (  0.000273)
";"  0.141063   0.000000   0.141063 (  0.141081)
";"  0.340566   0.000000   0.340566 (  0.340604)
";"  0.476721   0.000019   0.476740 (  0.476800)
";"  0.006831   0.000000   0.006831 (  0.006836)
"
"  0.000345   0.000000   0.000345 (  0.000344)
";"  0.199949   0.000003   0.199952 (  0.199976)
";"  0.482346   0.000000   0.482346 (  0.482403)
";"  0.659369   0.000023   0.659392 (  0.659482)
";"  0.009186   0.000000   0.009186 (  0.009190)
"
"  0.000426   0.000000   0.000426 (  0.000425)
";"  0.253130   0.000000   0.253130 (  0.253167)
";"  0.689525   0.000000   0.689525 (  0.689625)
";"  0.896055   0.000000   0.896055 (  0.896170)
";"  0.009240   0.000003   0.009243 (  0.009250)
"
"  0.000463   0.000000   0.000463 (  0.000462)
";"  0.310579   0.000001   0.310580 (  0.310616)
";"  0.869990   0.000000   0.869990 (  0.870096)
";"  1.222424   0.003992   1.226416 (  1.226561)
";"  0.011236   0.000009   0.011245 (  0.011247)
"
"  0.000572   0.000000   0.000572 (  0.000569)
";"  0.430980   0.000000   0.430980 (  0.431053)
";"  1.117905   0.000000   1.117905 (  1.118049)
";"  1.597857   0.000000   1.597857 (  1.598078)
";"  0.012615   0.000000   0.012615 (  0.012620)
"
"  0.000567   0.000001   0.000568 (  0.000567)
";"  0.535719   0.003998   0.539717 (  0.539797)
";"  1.363927   0.000002   1.363929 (  1.364117)
";"  1.820437   0.000000   1.820437 (  1.820660)
";"  0.013478   0.000000   0.013478 (  0.013483)
"
